student_id,first_name,last_name,age,sex,civil_status,region,province,municipality,barangay_type,year_level,course,course_category,gwa_percentage,gwa_numeric_1to5,family_annual_income_php,family_size,is_solo_parent_dependent,is_pwd,is_indigenous_people,is_4ps_beneficiary,is_ofw_dependent,parents_occupation,high_school_type,shs_strand,enrolled_hei_type,has_existing_scholarship,scholarship_label
1011,Rhea,Gonzales,17,Female,Single,Region II,Nueva Vizcaya,Burgos,Urban,3,BS Agriculture (Coconut Farming Focus),Coconut-Related,82.41,2.74,95979.0,7.0,No,No,No,No,Yes,Government Employee,Private,STEM,SUC,No,ACEF-GIAHEP
1012,Jenny,Flores,20,Female,Single,Region II,,Cauayan City,Urban,2,BS Nursing,Health Sciences,95.01,1.61,456527.0,2.0,No,Yes,No,No,No,Farmer,Public,STEM,Private HEI,No,CHED Merit - Half
1013,Ryan,Cagurangan,24,Male,Single,Region II,Cagayan,Roxas,Urban,1,BS Agricultural Engineering (Coconut),Coconut-Related,87.58,2.45,262203.0,2.0,No,nope,No,No,No,Farmer,Public,STEM,SUC,No,ACEF-GIAHEP
1014,Juan,De Leon,17,Male,Single,Region II,Cagayan,Other City/Municipality,Urban,3,BS Computer Engineering,Engineering,97.3,1.07,168545.0,2.0,No,No,No,No,No,Construction Worker,Public,STEM,Private HEI,No,College Scholar
1015,Maricris,Reyes,22,Female,Single,Region VI,Negros Occidental,Other City/Municipality,Rural,3,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,84.14,2.82,112497.0,9.0,No,no,No,No,N,Coconut Farmer,Public,STEM,Private HEI,No,CHED SIDA
1016,Noel,Aquino,19,Male,Single,Region V,Other Province,Santiago City,Rural,1,BA Communication,Social Sciences,84.52,2.87,231090.0,4.0,Yes,No,No,,No,OFW,Public,Academic (HUMSS/GAS),SUC,Y,CHED SIKAP
1017,Victor,Flores,25,Male,Single,Region II,Cagayan,Roxas,Rural,3,BS Statistics,Science,96.85,1.11,282176.0,9.0,No,No,Yes,No,No,Vendor/Small Business,Private,STEM,suc,nope,College Scholar
1018,Carlo,Lumaban,20,Male,Single,Region II,Isabela,Cordon,Rural,1,BS Agriculture,Agriculture,98.86,1.47,432274.0,7.0,No,No,No,No,No,Sugarcane Farmer,Private,STEM,SUC,No,CHED SIKAP
1019,Liza,Ballesteros,20,Female,Single,Region II,Isabela,Burgos,Rural ,2,BS Psychology,Social Sciences,86.01,2.04,271380.0,6.0,No,No,Yes,No,No,Construction Worker,Public,Academic (HUMSS/GAS),SUC,No,CHED TES
1020,Rowena,Agcaoili,25,Female,Singe,Region II,Isabela,Alicia,Rural,3,BS Accountancy,Business,81.75,2.65,674134.0,6.0,nO,No,No,No,No,,Public,ABM,Private,Yes,No Scholarship Recommended
1021,Rhea,Domingo,19,Female,Single,Region II,Cagayan,Alicia,Rural,3,BA Communication,Social Sciences,91.55,1.85,157304.0,5.0,nope,No,No,Yes,No,Coconut Farmer,Public,Academic (HUMSS/GAS),Private HEI,No,BRO-ED ISU Cauayan
1022,Nicole,Dizon,19,Female,Singe,Region I,Other Province,Jones,Rural,3,BS Agribusiness (Coconut Industry),Coconut-Related,86.97,2.46,606753.0,7.0,No,No,n,,No,Self-Employed,Private,STEM,SUC,Yes,No Scholarship Recommended
1023,Andrei,Gonzales,20,Male,Single,Region VIII,Other Province,Burgos,Rural,4,BS Information Technology,IT/Computing,98.66,1.18,481600.0,3.0,No,No,No,Yes,No,Self-Employed,Public,STEM,Private HEI,No,CHED Merit - Full
1024,John,Flores,22,Male,Married,Region II,Isabela,Echague,Rural,3,BS Nutrition and Dietetics,Health Sciences,78.87,3.07,112687.0,3.0,No,No,No,No,No,Self-Employed,Public,STEM,SUC,No,BRO-ED ISU Cauayan
1025,Angelo,Ramos,22,Male,Married,Region II,Cagayan,Ilagan City,Rural,2,BS Accountancy,Business,93.47,1.63,107479.0,3.0,No,No,No,No,No,Private Employee,,ABM,Private HEI,No,CHED Merit - Half
1026,Maricris,Cruz,22,Female ,Single,Region X,Other Province,Ilagan City,Rural,3,BA Political Science,Social Sciences,93.08,1.53,,4.0,No,No,No,No,y,Vendor/Small Business,,Academic (HUMSS/GAS),SUC,No,CHED Merit - Half
1027,Angelo,Garcia,18,Male,Single,Region II,Isaballa,Roxas,Rural,1,BA Communication,Social Sciences,83.78,2.56,202101.0,2.0,Yes,Yes,0,No,Yes,Fisherfolk,Private,Academic (HUMSS/GAS),LUC,no,CHED TES
1028,Ryan,Aquino,25,Male,Single,Region II,Cagayan,Cabagan,Urban,4,Bachelor of Elementary Education,Education,84.25,2.65,,5.0,0,No,No,No,No,Construction Worker,Public,Academic (HUMSS/GAS),suc,No,BRO-ED ISU Cauayan
1029,Lovely,Agcaoili,20,Female ,Single,Region VI,Other Province,Alicia,Urban,3,BS Accountancy,Business,81.21,2.67,379002.0,9.0,No,No,No,No,No,Vendor/Small Business,Public,ABM,S.U.C,No,CHED TDP
1030,Bryan,Dizon,18,Male,Single,Region II,Cagayan,Cabagan,Rural,2,BS Agribusiness (Sugar Industry),Sugarcane-Related,98.74,1.07,325440.0,8.0,no,No,No,nO,No,Fisherfolk,Private,Stem,LUC,No,University Scholar
1031,Renz,Santos,20,Male,Single,Region II,Cagayan,Echague,Rural,3,BS Hotel and Restaurant Management,Hospitality,78.6,3.24,,5.0,No,Yes,No,No,No,Sugarcane Farmer,Private,TVL/ABM,Private HEI,No,BRO-ED ISU Cauayan
1032,Ryan,Gonzales,18,Male,Single,Region II,Cagayan ,Alicia,Rural,3,BS Tourism Management,Hospitality,95.83,1.59,525623.0,6.0,NO,No,No,No,No,Sugarcane Farmer,Public,TVL/ABM,LUC,NO,College Scholar
1033,Glenda,Domingo,25,Female,Single,Region III,Bicol,Cordon,Rural,1,BS Agricultural Engineering (Coconut),Coconut-Related,80.87,,,3.0,Yes,No,No,,No,Fisherfok,Private,STEM,SUC,No,CHED CoScho
1034,Andrei,Bautista,21,Male,Single,Region II,Isbela,Ilagan City,Rural,2,BS Statistics,Science,93.3,1.56,98386.0,6.0,No,No,No,Yes,No,Vendor/Small Business,Private,STEM,SUC,No,CHED SIKAP
1035,Nicole,Aquino,23,Female,Single,Region II,Cagayan,Echague,Rural,2,BS Agricultural Economics,Agriculture,97.94,1.22,539848.0,8.0,No,No,No,No,No,Sugarcane Farmer,Public,STEM,LUC,No,University Scholar
1036,Precious,Villanueva,22,Female,Single,Region II,ISABELA,Cordon,Urban,4,BS Agriculture,Agriculture,83.88,2.61,317799.0,5.0,No,No,No,No,No,Vendor/Small Business,Public,STEM,SUC,Yes,CHED SIKAP
1037,Rommel,Cabauatan,19,Male,Single,Region V,Other Province,Jones,Rural,4,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,96.71,1.2,227167.0,,No,No,No,nope,No,Sugarcane Farmer,Public,STEM,Private HEI,No,College Scholar
1038,Andrei,Ballesteros,17,Male,Single,Region II,Isabela,Roxas,Rural,2,BS Nutrition and Dietetics,Health Sciences,94.65,1.67,231328.0,7.0,No,No,n,nope,Yes,Construction Worker,Public,STEM,LUC,No,CHED Merit - Half
1039,Liza,Dizon,25,Female,Single,Region II,Nueva Vizcaya,Burgos,Rural,4,BS Agribusiness (Coconut Industry),Coconut-Related,89.3,2.29,284125.0,9.0,No,Yes,No,Yes,nope,Farmer,Public,STEM,Private HEI,No,ACEF-GIAHEP
1040,Arjay,Domingo,20,m,Single,Region II,Cagayan,Other City/Municipality,Rural,3,BS Information Systems,I.T/Computing,88.21,2.48,270091.0,9.0,No,No,No,No,No,Private Employee,,STEM,private,No,DOST Undergraduate Scholarship
1041,Michael,Mendoza,19,Male,Single,Region II,Nueva Vizcaya,Burgos,Rurall,2,BS Electronics Engineering,Engineering,95.17,1.69,384942.0,4.0,No,,Yes,No,No,Private Employee,,STEM,SUC,No,DOST Undergraduate Scholarship
1042,Juan,Torres,22,Male,Single,Region II,Isabela,Cabagan,Rural,3,BS Agriculture (Coconut Farming Focus),Coconut-Related,80.88,2.95,214790.0,6.0,y,No,NO,No,Yes,Private Employee,Private,STEM,SUC,No,CHED CoScho
1043,John,Ramos,22,Male,Single,Region VI,Other Province,Cordon,Urban,1,BS Computer Engineering,Engineering,85.38,2.2,894917.0,6.0,Yes,No,No,No,No,Sugarcane Farmer,,Stem,SUC,No,No Scholarship Recommended
1044,Rowena,Santos,25,Female,married,Region II,Isabbela,Cabagan,Rural,2,BS Agricultural Engineering (Coconut),Coconut-Related,88.41,2.36,380798.0,4.0,No,No,No,No,No,Unemployed,Public,STEM,SUC,No,CHED SIKAP
1045,Andrei,Dizon,18,Male,Single,Region II,Isabela,Burgos,Urban,2,BA Political Science,Social Sciences,81.54,2.7,,4.0,No,Yes,No,y,Yes,OFW,Public,Academic (HUMSS/GAS),SUC,0,BRO-ED ISU Cauayan
1046,Kevin,Gonzales,25,MALE,Single,Region II,Cagayan,Jones,Rural,3,BS Agriculture (Coconut Farming Focus),Coconut-Related,84.16,2.53,169168.0,,No,No,No,Yes,No,Self-Employed,Private,STEM,SUC,No,CHED TES
1047,Jose,Gonzales,21,Male,sngle,CARAGA,Other Province,Echague,Urban,4,BS Pharmacy,Health Sciencess,94.72,1.62,316329.0,5.0,No,nO,No,No,no,OFW,Public,Steem,SUC,No,CHED Merit - Half
1048,Kevin,Ramos,25,m,Single,Region II,Cagayan,Cabagan,Urban,2,BS Agricultural Education,Education,85.86,2.39,187461.0,9.0,Yes,No,Yes,yEs,No,Farmer,Public,Academic (HUMSS/GAS),Private HEI,No,BRO-ED ISU Cauayan
1049,Andrei,Dizon,21,Male,Single,NCR,Isabela,Other City/Municipality,Urban,4,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,83.53,,55682.0,4.0,No,No,No,Yes,No,Government Employee,Public,STEM,local university,No,CHED SIDA
1050,Maria,Ramos,19,Female,Single,CARAGA,Other Province,Roxas,Rural,3,BS Agriculture,Agriculture,88.39,2.13,288211.0,9.0,No,No,No,No,No,Construction Worker,Public,STEM,Private HEI,No,DOST Undergraduate Scholarship
1051,Kristine,Garcia,23,Female,single,Region II,Cagayan,Echague,Rural,4,BS Agribusiness (Coconut Industry),Coconut-Related,84.49,2.74,357966.0,3.0,No,No,No,No,No,Self-Employed,Private,STEM,SUC,No,ACEF-GIAHEP
1052,Maricris,De Leon,23,Female,Single,Region II,Cagayan,Alicia,Rural,3,BS Agribusiness (Coconut Industry),Coconut-Related,98.1,1.37,388870.0,4.0,0,No,Yes,,,Private Employee,Public,STEM,Private HEI,No,University Scholar
1053,Nicole,Pagulayan,23,Female,Single,Region II,Ifugao,Cordon,Urban,3,BS Agricultural Engineering,Agricultre,96.99,1.36,179837.0,,No,n,N,No,Yes,Private Employee,Private,STEM,Private HEI,No,CHED SIKAP
1054,Precious,Garcia,21,Female,Single,Region II,Cagayan,Cauayan City,URBAN,3,BS Agribusiness Management,Agriculture,94.3,1.61,330135.0,9.0,N,No,No,No,No,Construction Worker,Public,STEM,SUC,N,DOST Undergraduate Scholarship
1055,Noel,Panganiban,18,Male,Single,Region II,Isabela,Cabagan,Rural,2,BS Agricultural Engineering (Coconut),Coconut-Related,78.17,3.3,198032.0,9.0,No,yes,No,No,Yes,Driver/Tricycle Operator,Public,STEM,private,No,CHED CoScho
1056,Liza,Castillo,18,Female,Single,Region II,Isabela,Cabagan,Urban,1,BS Mechanical Engineering,Engineering,89.19,2.23,312528.0,4.0,No,nope,n,,No,Sugarcane Farmer,Public,STEM,SUC,No,ACEF-GIAHEP
1057,Maricel,Durano,18,Female,SINGLE,Region III,Other Province,Cordon,Rural,1,BS Agricultural Engineering (Coconut),Coconut-Related,85.1,2.28,240294.0,7.0,No,No,No,Yes,No,Government Employee,Public,S.T.E.M,Private HEI,No,CHED CoScho
1058,Maria,Santos,18,Female,Single,Region XI,Other Province,Burgos,Rural,2,BS Nutrition and Dietetics,Health Sciences,83.98,,134287.0,9.0,No,No,No,Yes,No,OFW,Public,STEM,SUC,No,CHED TDP
1059,Tricia,Soriano,19,Female,Single,Region II,isabela,Cabagan,Rural,4,BS Computer Engineering,Engineering,96.1,1.16,217316.0,5.0,No,No,No,No,,Sugarcane Farmer,Private,STEM,SUC,No,CHED Merit - Full
1060,Glenda,Cabauatan,21,Female,Single,Region II,Nueva Vizcaya,Echague,Urban,3,BS Electronics Engineering,Engineering,89.33,2.3,257444.0,9.0,No,No,No,No,,,Public,STEM,SUC,No,ACEF-GIAHEP
1061,Renz,De Leon,23,Male,Single,Region II,Cagayan,Cauayan City,Rural,1,BS Entrepreneurship,Business,97.65,1.4,329030.0,3.0,No,No,No,,,Self-Employed,Public,ABM,SUC,No,CHED Merit - Full
1062,Ana,Pagulayan,24,Female,Single,Region II,Isabela,Echague,Urban,3,BS Social Work,Social Sciences,80.79,2.58,662086.0,9.0,No,No,No,No,Yes,Self-Employed,Public,Academic (HUMSS/GAS),SUC,Yes,No Scholarship Recommended
1063,Ryan,Aquino,23,Male,Single,Region II,Cagayan,Cordon,Rural,1,BS Agricultural Engineering (Coconut),Coconut-Related,87.86,2.07,284646.0,5.0,Yes,No,No,,,Unemployed,Public,STEM,SUC,nope,ACEF-GIAHEP
1064,Tricia,Gonzales,24,Female,Single,Region VI,Other Province,Cabagan,Rural ,4,BS Information Systems,IT/Computing,81.56,2.52,74319.0,5.0,No,No,No,No,No,Priv. Employee,Public,STEM,Private HEI,No,CHED SIKAP
1065,Bryan,Cruz,19,Male,Single,Region III,Other Province,Santiago City,Rural,4,BS Information Technology,IT/Computing,97.81,1.32,560527.0,7.0,No,No,No,No,no,Government Employee,Public,STEM,S.U.C,No,University Scholar
1066,Joanna,Domingo,19,Female,Single,Region II,,Cabagan,Rural,3,BS Statistics,Science,85.5,2.22,344870.0,8.0,No,No,No,,Yes,Government Employee,Public,STEM,Private HEI,0,DOST Undergraduate Scholarship
1067,Glenda,Cagurangan,20,Female,Single,Region XI,Cebu,Other City/Municipality,Rural,4,BS Agriculture (Sugarcane Farming),Sugarcane-Related,86.29,2.31,159787.0,9.0,No,nO,No,Yes,No,Government Employee,Public,STEM,SUC,No,CHED SIDA
1068,Angela,Durano,18,Female,Single,Region VI,Isabela,Other City/Municipality,Rural ,2,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,79.61,,160506.0,7.0,No,No,No,Yes,No,Construction Worker,Public,Steem,SUC,0,CHED SIDA
1069,Lovely,Reyes,19,Female,Single,Region II,quirino,Ilagan City,Rural,1,BS Nutrition and Dietetics,Health Sciences,86.53,2.43,177753.0,8.0,No,No,No,No,No,Construction Worker,Public,STEM,SUC,N,CHED TDP
1070,Rowena,Lumaban,25,Female,Single,Region VI,Other Province,Other City/Municipality,Rural,2,BS Civil Engineering,Engineering,75.72,3.2,622428.0,2.0,No,,Yes,,No,Government Employee,Public,STEM,SUC,Yes,No Scholarship Recommended
1071,Maricel,Pagulayan,20,Female,Single,Region XI,Batangas,Other City/Municipality,Rural,1,BS Agribusiness (Sugar Industry),Sugarcane-Related,87.26,2.41,148760.0,9.0,Y,,No,NO,No,,Private,STEM,SUC,No,CHED SIDA
1072,Noel,De Leon,23,MALE,Single,Region VI,Negros Occidental,Other City/Municipality,Rural,2,BS Agribusiness (Sugar Industry),Sugarcane-Related,88.41,2.29,72459.0,4.0,No,No,No,No,No,OFW,,STEM,LUC,No,CHED SIDA
1073,Renz,Bautista,20,Male,Single,Region II,Cagayan,Ilagan City,Rural,4,BS Nutrition and Dietetics,Health Sciences,96.85,1.23,380698.0,6.0,Yes,Yes,No,,Yes,Private Employee,Public,STEM,SUC,No,College Scholar
1074,Liza,Soriano,22,Female,sngle,Region XI,Other Province,Cordon,Rural,1,BS Midwifery,Health Sciences,,2.48,696543.0,4.0,Yes,No,Yes,No,No,Coconut Farmer,Public,STEM,Private HEI,Yes,No Scholarship Recommended
1075,Angelo,Ramos,24,Male,Married,Region VI,Negros Occidental,Other City/Municipality,Urban,3,BS Agribusiness (Sugar Industry),Sugarcane-Related,88.01,2.13,72188.0,9.0,No,,No,No,No,Driver/Tricycle Operator,Public,STEM,SUC,No,CHED SIDA
1076,Francis,Cabauatan,22,Male,Single,Region II,Isabela,Jones,Rural,3,BS Agricultural Engineering (Coconut),Coconut-Related,88.69,2.14,301459.0,9.0,No,,No,nope,No,Driver/Tricycle Operator,Public,SETM,SUC,0,ACEF-GIAHEP
1077,Karen,Reyes,19,Female,Single,Region V,Other Province,Cabagan,Urban,2,BS Civil Engineering,Engineering,98.48,1.37,392175.0,7.0,No,No,No,n,Yes,Sugarcane Farmer,Private,STEM,Private HEI,No,DOST Undergraduate Scholarship
1078,Arjay,Cagurangan,19,Male,Single,Region II,Nueva Vizcaya,Jones,Urban,2,BS Environmental Science,Science,95.7,1.53,261442.0,,no,No,No,,n,Unemployed,Public,STEM,SUC,No,DOST Undergraduate Scholarship
1079,Gina,Panganiban,20,Female,Single,Region II,ISABELA,Jones,Rural,3,BS Computer Science,IT/Computing,99.57,1.02,110619.0,2.0,No,No,No,No,No,Sugarcane Farmer,Private,STEM,SUC,No,University Scholar
1080,Rhea,De Leon,25,Female,single,Region VI,Negros Occidental,Other City/Municipality,Rural,4,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,86.9,2.14,71514.0,2.0,No,No,No,No,No,Self-Employed,Public,STEM,SUC,No,CHED SIDA
1081,Nicole,Panganiban,22,Female,Single,Region II,Isabela,Alicia,Urban,1,BS Agriculture (Coconut Farming Focus),Coconut-Related,95.02,1.74,,6.0,No,No,No,0,Yes,,Public,stem,SUC,No,College Scholar
1082,Angelo,De Leon,23,Male,Single,Region I,Other Province,Cordon,Rural,2,BS Civil Engineering,Engineering,,1.03,340507.0,4.0,No,No,No,No,No,Driver/Tricycle Operator,Public,STEM,SUc,No,University Scholar
1083,Arjay,Durano,20,Male,Single,Region X,Other Province,Other City/Municipality,Rural,1,BS Information Systems,IT/Computing,93.26,1.74,316619.0,3.0,No,No,nope,nO,,Farmer,Private,STEM,LUC,nO,CHED Merit - Half
1084,Angelo,Flores,24,Male,Singe,NCR,Other Province,Cordon,Rural ,2,BS Biology,Science,86.54,2.14,353101.0,8.0,0,,No,Yes,No,Vendor/Small Business,Private,STERM,Prvate HEI,No,CHED TDP
1085,Patrick,Aquino,22,Male,Single,Region II,Isabela,Ilagan City,Rural,4,BS Medical Technology,Health Sciences,83.23,2.74,595792.0,6.0,No,No,No,No,No,Government Employee,Public,STEM,SUC,Yes,No Scholarship Recommended
1086,Joanna,Pagulayan,19,Female,Single,Region VIII,Other Province,Roxas,Urban,2,BS Management Accounting,Business,82.51,2.62,286780.0,2.0,nope,No,No,No,No,Fisherfolk,Public,ABM,Private HEI,No,CHED TES
1087,Precious,Agcaoili,25,Females,Single,Region X,Other Province,Santiago City,urban,1,BS Tourism Management,Hospitality,96.58,1.35,667897.0,7.0,Yes,No,No,No,No,Driver/Tricycle Operator,Public,TVL/ABM,Private HEI,No,CHED SIKAP
1088,Glenda,Villanueva,21,Female,Single,Region I,Batangas,Other City/Municipality,Rural,3,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,85.54,2.15,117459.0,2.0,No,0,No,No,No,,Public,STEM,Private,0,CHED SIDA
1089,Jenny,Soriano,24,Female,Single,Region II,Cagayan,Cauayan City,Rural,4,BS Mechanical Engineering,Engineering,75.33,3.48,39063.0,5.0,Yes,No,No,No,No,Vendor/Small Business,Private,SETM,Private HEI,No,CHED TES
1090,Joanna,Lumaban,19,Female,Single,Region II,Cagayan,Jones,Urban,3,BA Communication,Social Sciences,90.4,1.82,,2.0,No,No,No,No,No,Unemployed,Public,Academic (HUMSS/GAS),SUC,No,CHED TES
1091,Maricris,Panganiban,17,Female,SINGLE,Region II,Isabela,Santiago City,Rural,1,BA Political Science,Social Sciences,97.96,1.37,62061.0,4.0,No,No,nope,No,No,Government Employee,Public,Academic (HUMSS/GAS),SUC,No,University Scholar
1092,Gina,Soriano,19,Female,Single,Region II,Isabela,Echague,Rural,3,BS Mechanical Engineering,Engineering,82.82,2.58,807320.0,7.0,No,No,No,No,No,Unemployed,Private,STEM,LUC,Yes,No Scholarship Recommended
1093,Carlo,Reyes,18,Male,Single,Region II,Cagayan,Cabagan,Rural,3,BS Electrical Engineering,Engineering,91.46,1.86,197246.0,5.0,No,No,No,NO,NO,Driver/Tricycle Operator,Public,STEM,SUC,No,ACEF-GIAHEP
1094,Glenda,Durano,20,Female,Single,Region II,Cagayan,Other City/Municipality,Rural,2,BS Fisheries,Agriculture,92.15,,187168.0,9.0,No,No,n,No,No,Driver/Tricycle Operator,Private,STEM,LUC,nope,ACEF-GIAHEP
1095,Glenda,Cruz,17,Female,Single,Region X,Other Province,Jones,Rural,1,BS Agricultural Engineering (Coconut),Coconut-Related,91.67,1.86,,,No,No,No,No,No,Sugarcane Farmer,Public,STEM,Private HEI,No,CHED TDP
1096,Jose,Dela Cruz,21,m,Single,Region V,Quezon,Cabagan,URBAN,4,BS Agribusiness (Coconut Industry),Coconut-Related,84.67,2.64,,5.0,No,No,No,,No,Fisherfolk,Public,stem,SUC,0,CHED CoScho
1097,Maricris,Garcia,18,Female,Single,Region VI,Negros Occidental,Other City/Municipality,urbane,2,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,85.82,2.31,196702.0,5.0,No,No,No,,No,Unemployed,Private,STEM,SUC,No,CHED SIDA
1098,Michael,Bautista,18,Male,Single,Region II,Cagayan,Cauayan City,Rural,1,BS Social Work,Social Sciences,88.46,2.43,279282.0,3.0,No,No,No,Yes,No,Sugarcane Farmer,Public,Academic (HUMSS/GAS),SUC,n,CHED TDP
1099,Patrick,De Leon,19,Male,Single,Region III,Other Province,Echague,Urban,1,BS Chemical Engineering (Sugar Processing),Sugarcane-Related,97.41,1.08,357814.0,8.0,No,No,No,No,Yes,Fisherfolk,Public,STEM,SUC,no,University Scholar
1100,Andrei,Garcia,23,Male,Single,Region II,Isabela,Roxas,Urban,1,BS Agribusiness Management,AGRICULTURE,90.61,1.77,,4.0,No,No,Yes,,0,Construction Worker,Public,STEM,Private HEI,No,BRO-ED ISU Cauayan
1101,Gina,Panganiban,20,Female,Single,Region II,Cagayan,Echague,Rural,3,BS Agribusiness Management,Agriculture,95.79,1.69,259224.0,4.0,No,No,No,,Yes,Private Employee,Public,STEM,SUC,No,CHED Merit - Half
1102,Glenda,Pagulayan,18,Female,Single,Region II,Isabela,Roxas,Urban,1,BS Agribusiness (Coconut Industry),Coconut-Related,91.1,1.8,141539.0,4.0,No,No,No,Yes,No,Government Employee,Public,STEM,private hei,NO,CHED CoScho
1103,Ryan,Villanueva,25,Male,Single,CARAGA,Other Province,Cabagan,Rural,4,BS Agricultural Engineering (Coconut),Coconut-Related,87.13,2.26,124574.0,9.0,No,,No,0,Yes,Government Employee,Public,STEM,SUC,No,ACEF-GIAHEP
1104,Sarah,Flores,22,Female,Single,Region II,Isabela,Santiago City,Urban,2,BS Agriculture,Agriculture,,2.98,606721.0,3.0,No,No,No,No,No,Government Employee,Public,STEM,Private HEI,Yes,No Scholarship Recommended
1105,Ryan,Dela Cruz,24,Male,Married,Region II,Ifugao,Ilagan City,Urban,2,BS Agriculture,Agriculture,75.01,3.34,,8.0,nO,No,No,No,Yes,Coconut Farmer,Public,STEM,LUC,Yes,CHED SIKAP
1106,Liza,Dizon,25,Female,Married,Region VII,Bicol,Cordon,URBAN,1,BS Agricultural Engineering (Coconut),Coconut-Related,82.63,2.92,179579.0,3.0,No,N,No,No,No,Vendor/Small Business,,STEM,SUC,No,CHED CoScho
1107,Daniel,Panganiban,23,Male,Single,Region II,Cagayan,Ilagan City,Rural,4,BS Information Systems,IT/Computing,99.05,1.02,489952.0,3.0,No,,No,No,No,Self-Employed,Public,STEM,Private HEI,No,University Scholar
1108,Nicole,Santos,20,Female,Single,CAR,Other Province,Cabagan,Rural,3,BS Economics,Business,76.97,3.02,617391.0,3.0,No,No,0,No,No,OFW,Private,ABM,SUC,No,No Scholarship Recommended
1109,Ana,Agcaoili,20,Female,Single,Region II,,Roxas,Rural,3,BS Civil Engineering,Engineering,94.35,1.72,163131.0,8.0,No,No,No,No,No,Driver/Tricycle Operator,Private,STEM,SUC,No,ACEF-GIAHEP
1110,Jose,Castillo,19,Male,Single,NCR,Other Province,Burgos,Rural,4,BS Agricultural Engineering,Agriculture,97.06,1.14,248568.0,2.0,No,,No,No,No,Private Employee,Public,STEM,SUC,No,College Scholar
1111,Kevin,Torres,17,Male,Single,Region VIII,Other Province,Cabagan,Urban,4,BS Tourism Management,Hospitality,95.99,1.75,361360.0,2.0,nO,No,No,No,NO,Unemployed,,TVL/ABM,Private HEI,nope,College Scholar
1112,Carlo,Ramos,17,MALE,Single,NCR,Other Province,Cordon,Urban,2,BS Agricultural Education,Education,81.41,2.91,388349.0,7.0,No,No,No,,No,Self-Employed,Public,Academic (HUMSS/GAS),SUC,NO,CHED TDP
